player_name,team_name,position,age,salary_per_week,goals,assists,matches,average_rating,player_of_the_week
Haaland,Man City,FWD,25.0,580000000,22,7,27,6.8,9
Thiago,Brentford,FWD,24.0,292000000,19,1,29,4.9,5
Semenyo,Man City,MID,26.0,328000000,15,6,29,6.0,4
João Pedro,Chelsea,FWD,24.0,312000000,14,9,26,5.3,5
Welbeck,Brighton,FWD,35.0,244000000,12,0,20,3.5,3
Gyökeres,Arsenal,FWD,27.0,352000000,11,0,21,3.5,3
Ekitiké,Liverpool,FWD,23.0,372000000,11,4,20,4.5,4
Calvert-Lewin,Leeds,FWD,29.0,224000000,10,2,23,3.9,2
Wilson,Fulham,MID,29.0,244000000,10,8,25,5.2,3
Watkins,Aston Villa,FWD,30.0,340000000,9,2,25,3.6,2
Palmer,Chelsea,MID,23.0,424000000,9,2,16,4.8,2
Gibbs-White,Nott'm Forest,MID,26.0,296000000,9,2,29,4.3,0
Kroupi.Jr,Bournemouth,FWD,19.0,188000000,9,0,13,3.0,0
Bruno G.,Newcastle,MID,28.0,272000000,9,6,22,5.8,4
Šeško,Man Utd,FWD,22.0,296000000,9,2,15,3.6,2
Richarlison,Spurs,FWD,28.0,252000000,9,3,17,3.6,2
Raúl,Fulham,FWD,34.0,248000000,9,5,22,3.5,1
Mbeumo,Man Utd,MID,26.0,344000000,9,3,24,4.7,1
B.Fernandes,Man Utd,MID,31.0,408000000,8,17,27,6.8,7
Flemming,Burnley,FWD,27.0,212000000,8,0,13,3.2,1
Mateta,Crystal Palace,FWD,28.0,300000000,8,0,21,3.5,2
Enzo,Chelsea,MID,25.0,264000000,8,4,29,4.3,2
Rogers,Aston Villa,MID,23.0,300000000,8,6,31,4.5,3
Bowen,West Ham,FWD,29.0,300000000,8,7,31,4.6,2
Schade,Brentford,MID,24.0,276000000,7,4,25,3.6,1
Cunha,Man Utd,MID,26.0,320000000,7,4,23,4.2,0
Woltemade,Newcastle,FWD,24.0,268000000,7,4,18,3.4,1
Casemiro,Man Utd,MID,34.0,228000000,7,4,24,4.6,3
Anthony,Burnley,MID,26.0,200000000,7,3,23,3.5,2
Foden,Man City,MID,25.0,320000000,7,3,20,4.3,3
